Attendance,Current_GPA,Previous_GPA,GPA_Diff,NonProductive_Hrs,SemiProductive_Hrs,Productive_Hrs,Club_Score,Internship_Status,Family_Income,Sentiment_Score,Dropout_Prob
86,8.14,7.932916479704136,0.21,3.2,0.5,0.8,2,1,5-10 LPA,0.4,0.5
74,5.21,5.492003974685503,-0.28,1.3,0.2,0.0,0,0,5-10 LPA,-0.7,1.0
94,7.21,6.7537189068690555,0.46,0.9,1.8,0.6,3,1,5-10 LPA,0.74,0.45
79,4.58,4.0,0.58,0.2,1.6,2.6,2,1,5-10 LPA,-0.4,0.7
91,6.7,6.916045886713138,-0.22,4.2,0.7,0.5,4,1,>10 LPA,-0.09,0.85
55,8.54,7.0101960196641775,1.53,3.1,4.5,1.0,3,1,<1 LPA,0.05,0.7
52,6.09,6.035092763131625,0.05,0.4,0.0,1.5,3,0,1-5 LPA,0.7,0.8
89,7.99,6.895347968933752,1.09,1.4,0.5,1.5,0,1,5-10 LPA,0.86,0.6
99,8.77,10.0,-1.23,1.3,3.8,0.7,4,1,1-5 LPA,0.86,0.75
81,9.56,10.0,-0.44,2.0,0.6,2.0,1,0,<1 LPA,-0.98,1.0
69,5.41,5.494603033017184,-0.08,5.8,0.4,0.5,0,0,1-5 LPA,0.84,1.0
58,6.4,7.410965342123736,-1.01,1.7,1.1,2.2,0,1,1-5 LPA,-0.89,1.0
56,4.91,4.2329472180274115,0.68,1.6,2.6,0.3,1,1,1-5 LPA,-0.47,1.0
95,9.95,10.0,-0.05,0.1,0.2,0.3,1,1,5-10 LPA,0.03,0.5
58,9.56,9.719848346974972,-0.16,0.1,4.3,0.1,0,1,1-5 LPA,-0.04,0.95
67,7.24,7.451216065066936,-0.21,0.4,2.4,1.6,3,0,<1 LPA,0.21,0.9
97,9.05,10.0,-0.95,0.1,0.3,0.5,2,1,<1 LPA,-0.04,0.6
94,7.13,7.715993682223842,-0.59,2.7,1.9,0.3,2,1,>10 LPA,0.87,0.7
65,7.74,7.970978930260019,-0.23,2.6,0.7,0.3,0,0,>10 LPA,-0.52,1.0
76,4.53,4.0,0.53,0.3,0.8,2.3,3,1,5-10 LPA,-0.45,0.65
65,8.53,7.761962963776428,0.77,3.6,2.3,1.8,1,0,1-5 LPA,0.84,0.75
92,4.77,4.67183285312342,0.1,0.3,4.9,0.8,5,0,>10 LPA,-0.85,0.85
62,8.96,9.034697899421321,-0.07,0.7,0.2,1.0,0,0,5-10 LPA,0.22,0.75
48,8.69,7.78583702026086,0.9,0.6,0.8,0.6,4,1,5-10 LPA,0.36,0.55
51,8.25,10.0,-1.75,0.9,1.0,0.5,3,1,5-10 LPA,0.01,0.8
92,4.22,5.433115244202858,-1.21,0.6,0.7,2.5,4,1,1-5 LPA,0.39,0.7
40,5.82,6.3016946563139875,-0.48,1.3,0.7,0.1,4,1,1-5 LPA,-0.65,1.0
97,5.58,5.637629489026996,-0.06,1.0,0.1,0.5,0,1,<1 LPA,0.71,0.8
97,6.16,5.9902328240790785,0.17,8.0,1.7,0.4,3,1,1-5 LPA,-0.72,0.85
40,4.53,4.0,0.53,0.1,0.9,0.7,4,1,5-10 LPA,-0.2,0.85
86,9.62,9.681984414815089,-0.06,0.3,0.3,0.6,3,1,>10 LPA,-0.85,0.65
73,7.32,7.526202032114201,-0.21,0.1,2.5,0.7,2,1,5-10 LPA,0.09,0.7
71,5.83,4.836591539614701,0.99,2.0,2.4,0.2,5,0,1-5 LPA,0.34,0.9
93,6.38,6.647341133795917,-0.27,0.1,1.0,0.7,4,1,<1 LPA,0.88,0.55
87,6.68,6.555792760940201,0.12,3.6,0.5,0.3,4,1,<1 LPA,0.48,0.55
64,7.6,6.073753953698087,1.53,1.4,1.5,0.2,3,1,1-5 LPA,0.08,0.55
79,7.09,6.401691991376398,0.69,1.5,0.5,0.1,5,0,1-5 LPA,0.87,0.7
84,9.52,9.189115573262685,0.33,1.6,0.4,1.4,2,0,5-10 LPA,-0.04,0.65
92,6.98,8.490150125872153,-1.51,0.4,2.0,0.6,4,1,<1 LPA,0.12,0.7
40,9.95,10.0,-0.05,0.4,0.1,1.0,0,0,>10 LPA,0.19,0.85
55,9.11,8.041614744720086,1.07,0.8,0.1,1.3,3,0,1-5 LPA,-0.18,0.8
78,5.25,5.63882903153411,-0.39,1.8,0.0,1.1,3,1,5-10 LPA,0.68,0.75
44,9.58,8.342156808849307,1.24,0.5,0.2,0.6,4,1,1-5 LPA,-0.63,0.75
61,4.7,5.566152843109659,-0.87,0.2,0.1,0.5,2,1,<1 LPA,0.11,0.8
68,8.9,8.523100278545698,0.38,7.0,6.0,0.5,4,1,5-10 LPA,0.44,0.7
94,6.28,6.205091049008663,0.07,0.0,0.5,1.0,1,0,5-10 LPA,0.81,0.55
42,9.27,10.0,-0.73,3.2,0.2,0.7,4,1,1-5 LPA,0.77,0.75
51,9.21,8.1802691451326,1.03,3.1,0.4,1.9,5,0,1-5 LPA,0.02,0.8
65,8.84,7.722305451909607,1.12,0.7,4.1,2.1,5,1,<1 LPA,0.29,0.4
55,8.74,8.273120538923196,0.47,0.3,1.1,0.2,1,1,5-10 LPA,-0.21,0.7
90,5.83,6.660703080815454,-0.83,0.3,0.7,0.1,5,1,>10 LPA,-0.06,0.75
76,4.49,4.0,0.49,2.4,3.1,1.0,5,1,<1 LPA,0.81,0.7
61,6.42,4.154275521511545,2.27,2.1,0.8,0.4,0,1,1-5 LPA,0.86,0.8
96,5.04,4.679072913272801,0.36,3.1,0.6,0.0,3,0,>10 LPA,0.79,0.7
68,8.17,8.611392639928736,-0.44,5.5,0.3,2.2,5,1,1-5 LPA,-0.72,0.85
53,6.08,7.040209399791063,-0.96,2.4,0.7,0.3,3,1,5-10 LPA,0.7,0.85
67,9.85,9.479470910331681,0.37,0.3,0.6,2.6,2,1,1-5 LPA,0.9,0.4
44,7.85,7.520858714307198,0.33,0.6,1.7,1.3,4,1,1-5 LPA,-0.28,0.65
86,8.93,9.853120587404597,-0.92,3.7,0.5,1.4,0,1,1-5 LPA,0.04,0.7
88,4.8,4.0,0.8,0.5,1.3,0.2,1,1,1-5 LPA,0.56,0.6
69,9.17,8.859183379853592,0.31,0.2,0.1,0.3,2,0,<1 LPA,0.12,0.75
85,9.54,9.692339111940045,-0.15,2.4,0.3,0.7,0,1,5-10 LPA,0.99,0.7
91,6.92,7.279374977028027,-0.36,1.0,0.8,0.2,0,0,5-10 LPA,-0.09,0.85
44,7.64,7.232154645447293,0.41,5.1,4.1,0.4,1,1,5-10 LPA,0.43,0.85
51,8.59,8.617552809364673,-0.03,2.1,0.7,0.4,1,1,5-10 LPA,0.59,0.8
55,5.05,4.0,1.05,0.2,1.6,0.2,3,1,1-5 LPA,-0.01,0.85
65,7.02,6.493401270132921,0.53,5.9,0.4,0.2,4,1,<1 LPA,0.71,0.75
65,6.39,6.752806970043574,-0.36,0.6,0.2,1.6,2,0,5-10 LPA,0.09,0.75
87,4.88,4.094164772596256,0.79,0.8,0.1,0.2,4,1,1-5 LPA,-0.18,0.65
60,6.21,6.257187377271678,-0.05,1.0,0.5,0.0,2,1,1-5 LPA,-0.78,0.9
78,4.41,4.767498000642158,-0.36,0.1,0.3,1.0,0,1,<1 LPA,-0.21,0.9
75,4.15,4.0,0.15,1.4,0.3,3.7,5,0,<1 LPA,0.47,0.8
72,4.81,4.946371016797256,-0.14,0.3,2.1,0.4,5,1,1-5 LPA,0.84,0.75
69,9.78,9.00981394777231,0.77,1.0,0.0,0.1,1,1,5-10 LPA,-0.5,0.7
76,7.3,7.134710976243163,0.17,0.9,1.2,0.8,1,0,>10 LPA,-0.29,0.65
62,9.79,10.0,-0.21,3.0,0.7,2.4,0,1,>10 LPA,-0.69,0.9
97,6.59,6.7155783687747475,-0.13,3.3,1.1,1.5,0,0,>10 LPA,0.38,0.85
49,5.87,5.4007749843488515,0.47,0.3,1.2,1.0,2,1,>10 LPA,0.92,0.8
93,7.04,7.219373123432635,-0.18,0.9,0.6,0.4,0,0,1-5 LPA,0.28,0.85
44,6.64,7.211687832509294,-0.57,0.9,0.5,0.8,2,1,1-5 LPA,0.23,0.8
75,4.63,4.0,0.63,0.3,2.0,0.1,4,1,5-10 LPA,0.11,0.55
73,7.84,8.767259251964719,-0.93,3.2,3.1,1.1,1,1,1-5 LPA,-0.82,0.95
91,5.3,5.030996209055142,0.27,2.5,0.3,1.3,1,1,1-5 LPA,0.46,0.7
70,7.72,8.060391946592183,-0.34,0.4,0.2,3.4,5,1,1-5 LPA,0.2,0.45
49,7.9,8.857797538916182,-0.96,0.9,3.4,0.3,5,0,1-5 LPA,0.32,0.85
97,4.91,4.0,0.91,0.2,0.6,0.0,1,1,1-5 LPA,0.8,0.6
58,4.37,4.0,0.37,2.0,1.2,0.8,4,1,<1 LPA,0.57,0.85
97,8.68,8.449161043299435,0.23,0.3,0.7,1.2,4,1,1-5 LPA,0.56,0.35
71,6.76,6.132997183100457,0.63,8.0,0.2,1.6,3,0,>10 LPA,0.85,0.8
40,4.35,5.737949260669446,-1.39,3.0,1.3,0.2,2,0,1-5 LPA,0.98,1.0
95,9.97,9.284582324938567,0.69,1.0,1.1,0.3,5,1,>10 LPA,0.16,0.35
44,4.35,4.0,0.35,1.7,0.3,0.7,2,1,<1 LPA,-0.78,1.0
84,8.17,8.33351122528238,-0.16,4.8,0.9,0.4,5,1,<1 LPA,-0.08,0.75
43,9.9,8.93828037913913,0.96,1.6,2.4,2.0,3,1,1-5 LPA,0.58,0.65
55,5.44,5.123455430594989,0.32,0.4,1.3,0.6,1,1,1-5 LPA,-0.94,1.0
63,4.85,5.10396260900014,-0.25,1.0,0.2,1.6,2,1,5-10 LPA,-0.89,1.0
55,4.73,4.4637116764939915,0.27,3.7,1.2,0.9,5,1,5-10 LPA,-0.87,1.0
94,5.82,5.745290512880041,0.07,2.1,1.8,1.5,2,1,5-10 LPA,0.46,0.7
41,4.61,4.186534310041304,0.42,2.1,2.4,0.4,1,0,>10 LPA,0.0,0.95
88,8.15,6.938423752655387,1.21,4.0,1.5,1.8,0,0,1-5 LPA,-0.26,0.85
67,4.37,4.627274569071391,-0.26,4.5,0.2,0.3,5,0,1-5 LPA,-0.79,1.0
71,7.06,8.463946457317792,-1.4,5.0,1.9,0.8,0,1,1-5 LPA,0.46,1.0
66,9.98,9.99472130462675,-0.01,0.2,1.7,0.2,3,0,<1 LPA,-0.36,1.0
59,8.88,9.06021129379804,-0.18,1.6,0.0,0.6,4,0,1-5 LPA,-0.47,1.0
63,7.69,8.244178204093489,-0.55,2.7,0.8,0.4,2,1,1-5 LPA,0.3,0.7
51,5.84,4.824535602762641,1.02,2.8,0.6,0.3,5,0,1-5 LPA,0.12,1.0
89,7.74,9.102011726503685,-1.36,1.9,1.7,3.4,2,0,<1 LPA,-0.28,1.0
74,7.16,7.321863037138241,-0.16,0.4,0.4,0.2,3,0,<1 LPA,0.28,0.9
99,6.56,7.865485519271287,-1.31,3.2,1.3,1.5,3,0,5-10 LPA,-0.46,1.0
72,4.78,4.193573603580809,0.59,2.5,3.7,4.1,2,1,5-10 LPA,0.59,0.75
72,9.32,10.0,-0.68,0.2,2.4,0.0,5,1,5-10 LPA,-0.54,0.75
90,6.7,7.320124395227827,-0.62,1.2,3.8,1.2,1,1,5-10 LPA,-0.68,0.95
82,5.17,5.612432068681887,-0.44,0.4,5.8,0.3,1,1,<1 LPA,0.56,0.75
76,6.21,6.397219563482518,-0.19,0.8,0.0,0.0,4,1,1-5 LPA,0.42,0.55
51,6.48,6.281177105540441,0.2,0.0,1.5,0.5,2,1,<1 LPA,-0.63,0.9
42,8.97,9.9304253267791,-0.96,1.0,0.8,2.7,2,0,5-10 LPA,-0.77,0.85
40,8.4,8.512287895878439,-0.11,1.6,2.9,0.0,5,0,5-10 LPA,0.68,0.8
72,8.62,7.046344237130278,1.57,1.9,0.4,0.9,2,1,1-5 LPA,0.55,0.6
79,4.07,4.0,0.07,2.2,5.9,0.7,5,0,1-5 LPA,-0.35,1.0
49,6.5,6.351323398245802,0.15,3.6,1.4,2.1,2,0,>10 LPA,0.32,0.75
82,6.89,7.1379991865324435,-0.25,0.5,2.4,0.1,3,1,1-5 LPA,-0.75,0.75
83,4.12,4.0747292088800835,0.05,0.3,0.1,1.1,0,1,5-10 LPA,0.01,0.7
68,5.56,6.53517663183493,-0.98,3.8,0.3,1.1,2,0,1-5 LPA,-0.96,1.0
52,8.56,6.999118508769101,1.56,0.3,2.1,1.1,0,0,1-5 LPA,-0.22,0.95
51,4.82,4.934870349204129,-0.11,7.4,0.0,2.9,1,1,5-10 LPA,-0.85,1.0
70,7.21,5.755616619690276,1.45,3.7,2.5,1.7,4,1,5-10 LPA,-0.05,0.75
85,5.29,5.897769836387335,-0.61,1.4,0.0,0.0,1,0,5-10 LPA,-0.16,0.95
41,4.07,4.0,0.07,8.0,1.6,0.6,2,1,1-5 LPA,-0.11,1.0
90,5.45,5.785687977619295,-0.34,0.2,0.7,0.5,5,1,1-5 LPA,-0.91,0.85
89,9.86,9.168893631528187,0.69,0.7,1.4,0.4,1,1,5-10 LPA,-0.28,0.5
74,8.81,9.833571945326202,-1.02,2.0,1.8,0.6,3,1,1-5 LPA,0.51,0.8
62,9.76,10.0,-0.24,0.9,0.6,0.5,0,0,1-5 LPA,-0.26,0.95
56,6.93,7.39683544240951,-0.47,5.3,0.2,0.6,5,1,>10 LPA,0.43,0.95
65,4.66,4.556386202509247,0.1,0.1,0.1,3.9,5,1,1-5 LPA,-0.26,0.65
47,7.29,7.753885828236106,-0.46,1.6,1.3,0.1,2,0,1-5 LPA,-0.15,1.0
68,6.73,6.164485945610121,0.57,1.8,1.1,2.6,3,1,5-10 LPA,0.13,0.55
65,9.07,9.75444452721657,-0.68,2.1,2.0,0.7,0,0,>10 LPA,0.9,0.85
49,4.59,5.909584715459137,-1.32,0.6,1.1,1.0,3,0,1-5 LPA,-0.78,1.0
65,6.93,7.7864884479833485,-0.86,0.9,0.8,1.8,1,1,1-5 LPA,-0.93,0.9
73,4.9,4.316318024154072,0.58,3.7,0.8,0.4,2,0,5-10 LPA,0.22,0.85
90,5.95,6.239133853818482,-0.29,0.4,0.0,0.6,5,1,5-10 LPA,0.9,0.65
80,8.42,7.3854867649930815,1.03,3.5,0.6,0.5,5,1,5-10 LPA,0.98,0.45
46,6.86,7.317912248940541,-0.46,1.7,5.6,0.5,1,1,1-5 LPA,-0.03,1.0
43,6.26,6.620482730290031,-0.36,2.9,3.1,2.6,5,1,1-5 LPA,-0.06,0.9
97,6.37,4.874146928374269,1.5,2.5,0.6,1.8,4,1,5-10 LPA,0.29,0.55
92,6.76,5.830572924870109,0.93,0.5,1.3,0.1,2,0,>10 LPA,0.11,0.55
89,8.71,8.483488882604988,0.23,1.7,2.8,0.1,1,1,>10 LPA,0.27,0.5
84,9.35,9.109312202287338,0.24,4.0,0.9,0.6,2,1,<1 LPA,0.75,0.5
50,9.73,8.762418451664956,0.97,1.1,0.0,0.1,0,0,1-5 LPA,0.49,0.95
68,8.72,9.031182983481747,-0.31,6.8,0.1,1.0,2,0,1-5 LPA,-0.01,1.0
95,5.89,6.0911788871524095,-0.2,1.2,1.1,0.2,2,0,>10 LPA,-0.08,0.95
75,8.13,7.974584694417185,0.16,0.3,5.2,0.7,0,1,5-10 LPA,0.28,0.55
64,6.63,6.02536679987331,0.6,1.0,1.8,0.0,1,1,1-5 LPA,-0.09,0.7
60,5.53,6.368965701133251,-0.84,6.1,0.1,0.4,2,1,<1 LPA,-0.08,1.0
96,9.05,10.0,-0.95,0.8,0.3,1.1,3,1,1-5 LPA,-0.97,0.65
75,4.23,4.0,0.23,4.1,2.2,0.7,2,1,<1 LPA,-0.65,1.0
49,9.41,8.920266466276143,0.49,4.3,2.8,3.8,1,1,5-10 LPA,-0.02,0.8
76,6.77,7.162966132329597,-0.39,0.9,1.4,2.1,5,1,5-10 LPA,0.65,0.45
48,7.82,7.533576496202412,0.29,0.2,1.6,0.4,0,1,1-5 LPA,-0.44,0.9
63,7.96,7.848482239469413,0.11,2.6,0.0,0.0,5,1,1-5 LPA,0.05,0.55
74,9.37,9.961722521379736,-0.59,0.7,2.6,1.9,1,1,>10 LPA,-0.31,0.8
88,7.82,6.292515129994166,1.53,3.1,2.3,2.4,4,1,1-5 LPA,-0.79,0.55
74,7.68,8.734641859882135,-1.05,1.2,0.4,1.7,5,1,1-5 LPA,0.92,0.8
87,4.4,4.458144419463474,-0.06,1.3,1.8,0.1,2,1,>10 LPA,0.71,0.8
75,7.11,6.780805484350256,0.33,3.0,0.4,6.0,2,1,5-10 LPA,-0.84,0.7
57,4.9,4.828612676622841,0.07,1.0,0.1,0.3,0,1,5-10 LPA,0.44,0.9
88,8.42,8.389943484016415,0.03,1.2,0.3,1.3,2,1,<1 LPA,-0.3,0.6
78,7.07,5.68503895724406,1.38,0.9,0.3,2.4,3,1,<1 LPA,0.99,0.35
71,8.08,9.275950581962588,-1.2,0.9,0.6,0.3,3,1,<1 LPA,-0.4,0.9
63,4.25,4.283060505816494,-0.03,1.5,0.8,2.4,5,0,1-5 LPA,-0.52,1.0
62,4.51,4.8644017043579,-0.35,3.3,1.1,0.4,1,0,5-10 LPA,0.14,0.95
71,8.3,9.061239816459235,-0.76,0.9,1.0,3.7,0,1,1-5 LPA,0.67,0.6
76,4.43,4.0,0.43,1.5,0.5,0.3,4,1,5-10 LPA,-0.61,0.85
51,4.43,4.808777519228182,-0.38,2.2,0.0,3.1,5,1,1-5 LPA,0.42,0.85
88,4.07,4.0,0.07,0.6,1.4,0.1,1,1,1-5 LPA,-0.88,0.8
94,9.74,10.0,-0.26,0.7,0.8,1.2,0,1,>10 LPA,0.84,0.6
52,8.43,6.728218063718804,1.7,5.4,0.5,0.8,0,0,1-5 LPA,-0.84,1.0
62,6.12,6.040724559806985,0.08,2.6,3.0,0.6,5,0,1-5 LPA,0.83,0.8
64,5.78,5.297743475372831,0.48,1.7,2.1,0.3,1,1,1-5 LPA,-0.02,0.9
74,6.1,6.445810360507324,-0.35,2.1,2.9,1.2,1,0,<1 LPA,-0.1,1.0
80,8.65,9.026035349894562,-0.38,0.1,1.0,0.2,2,1,1-5 LPA,0.95,0.5
69,7.97,7.403899284142379,0.57,1.9,0.2,0.8,4,1,1-5 LPA,0.98,0.55
56,5.11,4.540260908659166,0.57,1.4,1.8,0.3,3,1,5-10 LPA,0.3,0.85
88,5.04,4.951467705154137,0.09,1.6,0.3,3.1,2,1,5-10 LPA,-0.75,0.8
59,4.59,4.0,0.59,0.9,0.9,0.0,0,1,1-5 LPA,0.01,0.9
87,7.96,8.633586956361702,-0.67,0.2,0.1,0.2,4,0,<1 LPA,0.06,0.7
64,8.59,8.294634239642043,0.3,0.4,2.6,0.3,4,1,5-10 LPA,0.03,0.45
61,5.59,4.0,1.59,6.0,0.2,0.5,1,1,<1 LPA,0.14,0.9
52,4.13,4.0,0.13,1.1,3.5,0.3,4,0,5-10 LPA,-0.96,1.0
98,4.49,4.0,0.49,1.3,3.0,0.7,5,0,5-10 LPA,0.42,0.7
58,9.81,8.504979347631243,1.31,0.1,0.9,2.1,4,0,<1 LPA,0.42,0.7
88,5.77,4.780058689421941,0.99,0.1,2.0,1.2,0,0,5-10 LPA,-0.77,0.95
75,8.62,8.707526777466375,-0.09,2.5,1.4,0.9,5,1,>10 LPA,0.14,0.55
51,7.75,8.812912662598585,-1.06,1.5,2.4,0.1,5,1,5-10 LPA,0.14,0.9
80,6.29,6.540547579091984,-0.25,1.4,0.8,1.2,2,1,1-5 LPA,0.36,0.7
58,5.23,4.744797289427408,0.49,0.6,2.3,0.2,4,1,1-5 LPA,-0.83,0.95
51,4.73,5.094723356136562,-0.36,2.7,0.9,1.5,1,1,>10 LPA,0.25,1.0
48,7.69,7.322727751824807,0.37,0.4,4.2,0.3,2,1,1-5 LPA,-0.44,0.85
46,8.65,8.094319704669484,0.56,0.4,1.0,0.5,1,1,5-10 LPA,0.01,0.6
67,7.86,6.936509865413613,0.92,1.2,0.9,0.4,4,1,<1 LPA,0.55,0.55
53,7.18,5.778536954598624,1.4,0.7,2.3,2.0,2,1,<1 LPA,0.41,0.7
70,4.25,4.0,0.25,0.6,2.6,0.1,4,1,5-10 LPA,-0.76,0.85
91,9.81,9.936442791936106,-0.13,2.1,1.2,0.8,0,1,5-10 LPA,0.18,0.7
58,8.79,8.712701063988087,0.08,2.1,0.3,0.2,2,0,5-10 LPA,0.94,0.75
97,5.76,5.427226457642113,0.33,3.5,0.9,1.2,1,1,>10 LPA,-0.69,0.9
86,9.88,9.123403151442576,0.76,1.1,5.2,2.4,0,1,<1 LPA,0.71,0.55
55,7.61,8.096596953347975,-0.49,0.2,2.1,0.6,3,0,1-5 LPA,0.41,0.8
92,7.49,6.436294464042732,1.05,0.6,2.5,0.7,1,1,>10 LPA,0.55,0.5
44,8.49,9.11082233107478,-0.62,7.8,0.1,2.6,4,1,<1 LPA,-0.44,0.95
74,8.87,8.068226384858619,0.8,1.8,0.9,0.7,1,0,5-10 LPA,-0.42,0.85
51,7.94,7.338051810117572,0.6,2.5,1.6,0.7,3,1,1-5 LPA,0.81,0.65
64,4.77,4.0,0.77,0.0,2.7,0.9,1,0,<1 LPA,-0.28,1.0
91,6.03,5.628878282491491,0.4,1.5,0.1,1.2,0,1,1-5 LPA,-0.87,0.9
98,9.57,10.0,-0.43,0.1,2.9,0.1,5,0,1-5 LPA,0.2,0.6
60,5.35,5.762502470755165,-0.41,1.7,1.2,1.7,1,1,>10 LPA,-0.75,1.0
75,6.23,7.012737689622428,-0.78,5.1,0.3,0.6,2,0,5-10 LPA,0.59,0.85
92,6.59,7.007714036747148,-0.42,6.9,0.6,0.1,3,0,5-10 LPA,0.28,0.8
62,6.64,5.757064137175704,0.88,1.6,0.5,1.5,1,0,1-5 LPA,0.75,0.85
55,7.68,7.415368620537953,0.26,1.2,1.1,0.5,3,1,1-5 LPA,0.57,0.65
96,9.66,9.03584069670603,0.62,5.8,0.1,0.1,5,1,<1 LPA,-0.78,0.75
78,5.44,6.504459923231233,-1.06,2.2,0.3,1.0,0,1,1-5 LPA,-0.24,1.0
84,4.73,4.0,0.73,0.1,2.5,2.1,2,1,<1 LPA,0.55,0.5
92,5.18,5.894958151511289,-0.71,1.3,0.2,2.2,4,1,1-5 LPA,-0.17,0.75
81,9.32,10.0,-0.68,0.5,0.4,3.2,1,0,1-5 LPA,0.94,0.55
97,7.87,9.33369616137287,-1.46,1.3,0.9,2.0,0,1,1-5 LPA,0.47,0.85
78,5.72,5.392250725896401,0.33,1.2,1.1,0.0,3,0,<1 LPA,-0.97,1.0
53,8.9,9.469857727664131,-0.57,1.7,2.2,0.5,5,1,1-5 LPA,0.76,0.75
70,9.17,10.0,-0.83,0.9,0.9,1.7,3,1,1-5 LPA,-0.8,0.75
97,9.08,8.585886658453044,0.49,0.4,2.3,0.5,5,1,<1 LPA,-0.72,0.55
44,9.51,8.281967801974112,1.23,1.4,1.4,0.9,5,0,>10 LPA,0.47,0.7
74,5.51,4.0059919728737885,1.5,3.5,0.2,0.9,0,1,<1 LPA,0.73,0.9
62,8.53,9.100169623089064,-0.57,2.2,0.3,0.5,1,0,>10 LPA,0.07,0.75
68,6.76,5.253479833553133,1.51,0.8,0.9,2.3,4,0,<1 LPA,-0.42,0.9
82,9.05,8.752144757649662,0.3,5.5,0.8,0.7,1,0,>10 LPA,-0.3,0.75
50,8.37,8.719850549631168,-0.35,4.9,2.0,0.6,2,1,<1 LPA,-0.31,1.0
57,8.66,8.808140429463931,-0.15,0.5,1.3,6.0,1,1,5-10 LPA,-0.35,0.8
86,7.94,8.280355891347337,-0.34,0.1,0.7,0.7,5,1,1-5 LPA,-0.51,0.65
51,5.06,5.237831884640683,-0.18,2.7,0.3,0.2,5,0,5-10 LPA,0.22,1.0
48,7.27,8.293092650650713,-1.02,3.5,0.4,0.7,2,1,1-5 LPA,0.8,1.0
49,9.91,9.148146895408962,0.76,6.9,1.3,1.7,3,1,<1 LPA,-0.39,0.95
97,9.62,9.078403889233174,0.54,4.4,0.8,1.5,5,0,5-10 LPA,-0.63,0.8
83,4.26,4.0,0.26,1.8,1.1,1.6,2,0,<1 LPA,0.68,0.95
56,4.99,5.654153449490089,-0.66,1.5,0.3,1.2,5,1,>10 LPA,0.48,0.95
77,4.79,5.510318870716051,-0.72,0.1,1.6,0.3,4,1,<1 LPA,0.86,0.65
46,8.36,8.720980255454807,-0.36,0.6,2.9,2.0,5,1,1-5 LPA,-0.67,0.85
85,8.91,9.856794933511942,-0.95,1.2,0.4,2.2,0,1,5-10 LPA,-0.71,0.8
52,5.28,4.3375673060988955,0.94,2.0,1.0,0.2,2,0,1-5 LPA,0.08,1.0
79,7.04,8.37377928924091,-1.33,1.6,5.6,0.1,1,0,1-5 LPA,0.23,1.0
81,9.04,10.0,-0.96,2.7,0.6,3.7,2,1,5-10 LPA,-0.04,0.6
48,8.4,8.988497597796599,-0.59,0.7,1.4,2.0,3,1,5-10 LPA,0.2,0.65
89,7.25,8.675439127016848,-1.43,1.7,0.1,2.2,5,1,>10 LPA,-0.64,0.9
66,7.54,6.214701433857781,1.33,0.2,1.4,2.2,2,1,1-5 LPA,-0.04,0.5
97,7.05,6.630441490989878,0.42,1.1,0.1,0.8,4,1,1-5 LPA,0.32,0.55
41,5.79,5.2017572314544385,0.59,2.8,4.8,1.0,2,0,1-5 LPA,-0.13,1.0
44,7.39,7.9671834590058745,-0.58,2.4,1.9,0.8,4,1,1-5 LPA,0.36,0.85
68,8.13,7.289887408318284,0.84,8.0,2.3,0.1,5,1,5-10 LPA,-0.1,0.75
76,9.24,9.845996119469989,-0.61,0.7,1.8,1.4,1,0,1-5 LPA,-0.33,0.85
77,7.82,8.916428915197372,-1.1,1.4,1.3,0.7,5,1,1-5 LPA,-0.39,0.9
58,8.57,9.1261623200672,-0.56,0.8,0.9,1.0,3,0,1-5 LPA,-0.18,0.9
47,4.96,5.187000818929201,-0.23,1.2,2.9,0.7,0,0,5-10 LPA,-0.95,1.0
87,6.77,5.9797013272794,0.79,3.9,4.7,0.7,1,1,>10 LPA,0.34,0.65
84,4.06,4.0,0.06,2.3,1.0,0.2,1,1,5-10 LPA,0.69,0.7
40,5.48,6.479695124237334,-1.0,4.3,4.0,0.3,0,0,1-5 LPA,-0.29,1.0
61,8.36,8.983479203124265,-0.62,0.5,1.3,0.2,2,1,5-10 LPA,-0.91,0.8
91,9.95,9.918784384497965,0.03,4.1,1.2,0.2,5,1,5-10 LPA,0.97,0.55
56,4.6,4.265672363387287,0.33,0.1,0.9,3.6,2,1,<1 LPA,-0.47,0.9
46,6.41,4.7893537015108985,1.62,4.4,0.4,0.2,2,1,<1 LPA,-0.75,1.0
64,8.8,7.943318065052449,0.86,0.8,0.0,0.3,5,0,<1 LPA,-0.26,0.8
84,5.22,6.749135269711779,-1.53,0.8,0.4,0.9,3,0,1-5 LPA,0.48,0.95
43,7.33,6.305635543198027,1.02,1.4,1.1,0.9,1,0,5-10 LPA,-0.41,1.0
75,8.4,8.551583856976865,-0.15,5.6,0.7,0.2,4,0,1-5 LPA,0.15,0.8
45,7.7,8.505955178556158,-0.81,0.1,0.9,1.6,0,0,1-5 LPA,-0.17,1.0
99,5.13,4.126061865598166,1.0,0.9,5.9,1.5,1,0,>10 LPA,-0.76,0.9
70,6.13,6.277768379824867,-0.15,3.9,0.6,0.3,2,1,5-10 LPA,-0.34,1.0
58,8.7,9.450332430008523,-0.75,1.0,0.9,0.3,0,1,5-10 LPA,0.45,0.8
83,7.33,7.3399994575258,-0.01,0.4,0.2,2.8,4,1,1-5 LPA,0.22,0.45
93,4.03,6.324722444533415,-2.29,1.1,0.1,1.7,1,0,<1 LPA,-0.76,1.0
